Anime,Genre,NumChar,Clique,ProtagClique,PPC,Fem,Negativity,BCP,PRP,DCP,Popularity,Protag_Gender,Neg_Relation
Demonslayer,0,27,25,17,0.680000000,0.40740741,7.54545455,0.426291209,0.11082588,0.69230769,2593491,0,0.1375000
Attack on Titan,0,30,15,10,0.666666667,0.36666667,7.15094340,0.224340845,0.06221325,0.72413793,3559349,0,0.3028571
Jujutsu Kaisen,0,30,16,12,0.750000000,0.30000000,7.73170732,0.277944718,0.06807398,0.72413793,2029305,0,0.2867133
Haikyuu,0,40,11,2,0.181818182,0.05000000,8.00000000,0.394342694,0.04340499,0.35897436,1771174,0,0.0258065
Fullmetal Alchemist,0,31,15,6,0.400000000,0.18750000,7.80000000,0.559856631,0.06125448,0.32258065,3035722,0,0.4807692
My Hero Academia,0,30,16,11,0.687500000,0.30000000,8.30000000,0.663657951,0.14710897,0.89655172,2737597,0,0.3061224
Death Note,0,25,20,16,0.800000000,0.28000000,6.65789474,0.529313672,0.13857475,0.95833333,3563227,0,0.4042553
Ouran High School Host Club,1,40,21,12,0.571428571,0.42500000,7.37500000,0.384059829,0.09602738,0.56410256,1039820,1,0.1454545
Violet Evergarden,1,35,10,8,0.800000000,0.48571429,8.25000000,0.794117647,0.15513584,0.61764706,1578998,1,0.0645161
Kaguya-Sama,1,27,18,11,0.611111111,0.55555556,6.75000000,0.345933400,0.11433908,0.53846154,1517365,1,0.0689655
Fruits Basket,1,30,10,6,0.600000000,0.50000000,6.63333333,0.276781609,0.07467201,0.75862069,712449,1,0.2027027
Maid Sama!,1,26,12,12,1.000000000,0.42307692,6.38461538,0.683333333,0.17797447,0.96000000,1154643,1,0.2031250
Banana Fish,1,25,21,21,1.000000000,0.04000000,6.89473684,0.463680556,0.14157619,1.00000000,763288,0,0.2261905
Vampire Knight,1,25,15,7,0.466666667,0.32000000,8.09090909,0.137956349,0.07577843,0.45833333,573293,1,0.1594203